Produtos;Embal;Operacoeses Comerciais;Itens Vendidos;Quantidade;Valor;% Part.;Custo Total;$ Lucrativ.;% Lucrativ.;;;out/21;set/21;ago/21;jul/21;jun/21;mai/21;abr/21;mar/21;fev/21;jan/21;dez/20;nov/20;out/20;set/20;ago/20;jul/20;jun/20;mai/20;abr/20;mar/20;fev/20;jan/20;dez/19;nov/19;out/19;set/19;ago/19;jul/19;jun/19;mai/19;abr/19;mar/19;fev/19;jan/19;dez/18;nov/18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.07.026 - TEXTURA CROMANIL  CIMENTO QUEIMADO TRADICIONAL GL;UNIDA;922;799;874;R$ 188.659;2;490;20%;R$ 43.434;66;;R$ 145.224;36;33435;10%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3586;61;2597;66;2874;3;3914;32;3764;70;2222;71;12880;28;24556;79;27128;21;24813;1;15319;84;8542;48;6762;78;10521;54;5716;42;8093;48;6881;76;4303;70;3195;20;8187;70;2795;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13.07.025 - TEXTURA CROMANIL  CIMENTO QUEIMADO TRADICIONAL 1/4;900ML;1662;1421;1766;R$ 163.545;31;425;0%;R$ 15.623;28;;R$ 147.922;3;94680;50%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1259;81;1638;53;1505;18;876;50;1115;51;1228;42;11160;85;21497;97;26166;93;33314;84;19685;43;11576;69;3502;19;4427;21;3620;6;4702;55;4246;64;1594;0;1673;70;4528;20;4224;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13.07.052 - TEXTURA CROMANIL  NUVENS DE CHUVA GL;UNIDA;301;301;329;R$ 70.539;54;183;30%;R$ 33.265;7;;R$ 37.274;47;11205;30%;;485;86;1148;10;2211;60;1190;40;1164;90;1450;40;1644;52;2948;3;2288;3;1801;61;2292;46;1217;22;793;81;1430;32;4642;56;7779;75;7450;38;3096;4;5350;79;2372;60;1400;52;1561;16;1835;69;4067;45;3303;53;798;80;1418;11;1597;60;1797;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13.07.118 - KIT GL CIMENTO QUEIMADO TRADICIONAL;UNIDA;177;177;184;R$ 56.674;40;147;30%;R$ 51.464;80;;R$ 5.209;60;1012;30%;;341;60;1212;83;305;50;907;34;1833;84;611;0;1184;40;1146;80;1146;80;860;10;1669;81;1398;50;2518;82;1101;90;3260;75;9459;1;13148;84;11338;46;3228;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13.05.021 - LATEX ACR FOSCO CROMANIL BRANCO LT;UNIDA;220;146;197;R$ 56.194;93;146;0%;R$ 30.879;89;;R$ 25.315;4;8197;90%;;590;41;10953;69;12635;87;12975;64;8771;17;7600;1;2668;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
25.11.011 - SUVINIL ACRILICO FOSCO BRANCO LT;UNIDA;114;115;133;R$ 53.311;16;138;50%;R$ 41.175;20;;R$ 12.135;96;2947;40%;;489;90;1409;70;3140;30;2699;40;888;70;877;60;2173;20;1231;29;3478;25;4711;58;1982;53;5572;63;1179;80;1583;64;1994;50;797;80;398;90;797;80;1513;48;1508;21;1917;8;1139;70;2319;40;1599;60;3577;59;0;0;0;0;2508;40;1820;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13.07.027 - TEXTURA CROMANIL  CIMENTO QUEIMADO TRADICIONAL LATA;UNIDA;48;43;62;R$ 48.343;73;125;60%;R$ 7.171;60;;R$ 41.172;13;57410;0%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;774;0;0;0;1559;61;2097;86;0;0;4003;70;6388;1;2290;20;3152;10;4748;10;0;0;2541;0;5561;33;0;0;798;0;1660;14;798;0;798;0;9532;40;1641;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13.07.023 - TEXTURA CROMANIL  CIMENTO QUEIMADO + CLARO GL;UNIDA;254;204;245;R$ 48.125;97;125;10%;R$ 21.918;40;;R$ 26.207;57;11956;90%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;792;38;2022;12;1777;33;1977;4;2776;4;1774;16;3397;7;3941;73;3293;37;2117;70;1189;37;2471;91;1060;54;2618;2;2644;97;1583;99;3126;61;599;10;2596;10;4569;12;1797;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
31.11.002 - METALATEX FSC  BRANCO LT;UNIDA;103;103;138;R$ 46.597;53;121;10%;R$ 34.425;74;;R$ 12.171;79;3535;70%;;455;90;0;0;0;0;0;0;0;0;841;80;776;12;1181;90;1475;60;378;19;0;0;752;80;1855;65;1424;14;1423;90;2130;0;1274;15;659;92;670;0;4306;33;994;97;2666;50;4690;0;4013;25;3939;48;1294;99;616;27;5326;67;3449;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13.05.009 - CROMANIL FSC ANIL INTENSO 3 LT;UNIDA;51;32;40;R$ 43.218;51;112;30%;R$ 17.837;20;;R$ 25.381;31;14229;40%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5367;60;0;0;2106;0;3265;0;7552;17;5313;60;0;0;1047;60;6709;60;0;0;0;0;2101;94;1080;0;5435;0;3240;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
