Produtos;Embal;Operacoeses Comerciais;Itens Vendidos;Quantidade;Valor;% Part.;Custo Total;$ Lucrativ.;% Lucrativ.
13.07.026 - TEXTURA CROMANIL  CIMENTO QUEIMADO TRADICIONAL GL;UNIDA;922;799;874;R$ 188.659;2;490;20%;R$ 43.434
13.07.025 - TEXTURA CROMANIL  CIMENTO QUEIMADO TRADICIONAL 1/4;900ML;1662;1421;1766;R$ 163.545;31;425;0%;R$ 15.623
13.07.052 - TEXTURA CROMANIL  NUVENS DE CHUVA GL;UNIDA;301;301;329;R$ 70.539;54;183;30%;R$ 33.265
13.07.118 - KIT GL CIMENTO QUEIMADO TRADICIONAL;UNIDA;177;177;184;R$ 56.674;40;147;30%;R$ 51.464
13.05.021 - LATEX ACR FOSCO CROMANIL BRANCO LT;UNIDA;220;146;197;R$ 56.194;93;146;0%;R$ 30.879
25.11.011 - SUVINIL ACRILICO FOSCO BRANCO LT;UNIDA;114;115;133;R$ 53.311;16;138;50%;R$ 41.175
13.07.027 - TEXTURA CROMANIL  CIMENTO QUEIMADO TRADICIONAL LATA;UNIDA;48;43;62;R$ 48.343;73;125;60%;R$ 7.171
13.07.023 - TEXTURA CROMANIL  CIMENTO QUEIMADO + CLARO GL;UNIDA;254;204;245;R$ 48.125;97;125;10%;R$ 21.918
31.11.002 - METALATEX FSC  BRANCO LT;UNIDA;103;103;138;R$ 46.597;53;121;10%;R$ 34.425
13.05.009 - CROMANIL FSC ANIL INTENSO 3 LT;UNIDA;51;32;40;R$ 43.218;51;112;30%;R$ 17.837
13.07.051 - TEXTURA CROMANIL  NUVENS DE CHUVA 1/4;UNIDA;369;369;436;R$ 39.695;5;103;10%;R$ 16.767
25.09.003 - FITA CREPE  48 X 50 MM;UNIDA;1512;1513;2604;R$ 33.018;53;85;80%;R$ 14.706
13.07.026 - TEXTURA CROMANIL   TRADICIONAL  GL;UNIDA;922;123;143;R$ 31.840;39;82;70%;R$ 6.150
13.07.003 - KIT CIMENTO QUEIMADO GL + VERNIZ;UNIDA;102;92;105;R$ 29.470;99;76;60%;R$ 29.368
13.07.041 - TEXTURA CROMANIL  GAROA GL;UNIDA;128;128;140;R$ 29.226;24;75;90%;R$ 10.488
25.07.002 - ESMALTE FLUOR ECO GL;UNIDA;61;35;69;R$ 28.290;72;73;50%;R$ 22.306
13.07.025 - TEXTURA CROMANIL   TRADICIONAL  1/4;UNIDA;1662;241;283;R$ 28.011;54;72;80%;R$ 4.131
13.09.010 - VERNIZ ACRILICO FOSCO CROMANIL 900 ML;900ML;1004;755;877;R$ 27.539;59;71;60%;R$ 9.249
12.03.003 - LATEX CORAL RENDE MUITO LT;UNIDA;86;85;100;R$ 27.442;63;71;30%;R$ 19.931
13.07.022 - TEXTURA CROMANIL  CIMENTO QUEIMADO + CLARO 1/4;UNIDA;304;246;312;R$ 27.055;66;70;30%;R$ 13.697
13.07.114 - KIT 1/4 CIMENTO QUEIMADO TRADICIONAL;UNIDA;189;189;220;R$ 26.156;99;68;0%;R$ 22.990
13.05.008 - CROMANIL FSC ANIL INTENSO 3 GL;UNIDA;138;71;92;R$ 24.965;85;64;90%;R$ 9.013
25.11.010 - SUVINIL ACRILICO FOSCO BRANCO GL;UNIDA;152;152;179;R$ 23.578;23;61;30%;R$ 16.180
13.09.012 - VERNIZ ACRILICO FOSCO CROMANIL 18 LTS;UNIDA;41;30;57;R$ 20.776;77;54;0%;R$ 7.974
31.02.001 - CORANTE  DE MAQUINA;UNIDA;442;443;28534;35;R$ 20.471;65;53;20%
99.99.998 - KIT CIMENTO QUEIMADO GL TRADICIONAL;UNIDA;1;63;67;R$ 20.096;61;52;20%;R$ 18.409
31.04.004 - ESMALTE METALATEX ECO ACET BRANCO GL;UNIDA;117;117;166;R$ 18.583;89;48;30%;R$ 11.410
13.07.119 - KIT GL CIMENTO QUEIMADO TRADICIONAL CLARO;UNIDA;60;60;64;R$ 18.438;58;47;90%;R$ 17.900
13.07.005 - KIT CIMENTO QUEIMADO LT + VERNIZ;UNIDA;18;15;17;R$ 18.181;17;47;20%;R$ 18.309
25.18.003 - MASSA CORRIDA PVA SUVINIL LT;UNIDA;143;143;223;R$ 18.176;74;47;20%;R$ 13.904
31.11.001 - METALATEX FSC  BRANCO GL;UNIDA;138;138;154;R$ 17.330;1;45;0%;R$ 10.037
13.07.030 - TEXTURA CROMANIL  CORES CLARAS LT;UNIDA;12;12;21;R$ 17.207;85;44;70%;R$ 4.194
35.01.006 - MASSA CORRIDA PVA UNIVERSO LATA 25KG;LATA;85;85;246;R$ 16.996;96;44;20%;R$ 9.933
25.13.010 - SUVINIL LATEX PVA MAX BRANCO LT;UNIDA;44;44;50;R$ 16.748;77;43;50%;R$ 12.682
13.07.117 - KIT GL CIMENTO QUEIMADO NUVENS DE CHUVA;UNIDA;53;53;53;R$ 16.114;15;41;90%;R$ 14.824
31.23.010 - NOVA COR PISO BRANCO LT;UNIDA;52;52;60;R$ 15.650;82;40;70%;R$ 11.432
13.05.021 - CROMANIL FSC BRANCO LATA;UNIDA;220;55;61;R$ 15.310;30;39;80%;R$ 7.625
13.07.040 - TEXTURA CROMANIL  GAROA 1/4;UNIDA;143;143;176;R$ 15.120;87;39;30%;R$ 5.303
13.07.042 - TEXTURA CROMANIL  GAROA LT;UNIDA;17;17;19;R$ 15.081;1;39;20%;R$ 6.588
99.99.998 - KIT CIMENTO QUEIMADO GL + CLARO;UNIDA;1;41;52;R$ 14.896;70;38;70%;R$ 14.544
13.09.011 - VERNIZ ACRILICO FOSCO CROMANIL 3;6 LTS;UNIDA;188;138;162;R$ 14.697;79;38;20%
25.15.001 - LONA PLASTICA PRETA  1X4MT;UNIDA;602;603;3148;R$ 14.202;17;36;90%;R$ 5.768
13.07.053 - TEXTURA CROMANIL  NUVENS DE CHUVA LT;UNIDA;21;21;19;R$ 14.142;45;36;70%;R$ 6.088
13.07.024 - TEXTURA CROMANIL  CIMENTO QUEIMADO + CLARO LATA;UNIDA;13;11;19;R$ 14.133;85;36;70%;R$ 6.786
31.15.003 - MASSA ACRILICA METALATEX LT;UNIDA;73;73;107;R$ 14.102;29;36;60%;R$ 10.391
25.07.002 - ESMALTE FLUOR ECO LARANJA NOVO 3;6 LTS;UNIDA;61;22;32;R$ 13.544;47;35;20%
13.05.008 - LATEX ACR FOSCO CROMANIL ANIL INTENSO (3) GL;UNIDA;138;41;47;R$ 13.348;64;34;70%;R$ 3.240
13.07.009 - TEXTURA CROMANIL   LT 18;UNIDA;12;12;18;R$ 13.330;69;34;60%;R$ 1.768
31.16.003 - MASSA CORRIDA PVA METALATEX LT;UNIDA;109;109;176;R$ 13.260;66;34;50%;R$ 9.583
15.03.014 - VALE EM COMPRAS;UNIDA;148;148;148;R$ 12.818;12;33;30%;R$ 12.675
13.07.023 - TEXTURA CROMANIL   TRADICIONAL CLARO GL;UNIDA;254;50;58;R$ 12.500;25;32;50%;R$ 2.329
31.11.028 - NOVA COR ACRILICO FOSCO BRANCO LT 380M|;UNIDA;63;50;53;R$ 12.201;25;31;70%;R$ 8.089
13.05.020 - LATEX ACR FOSCO CROMANIL BRANCO GL;UNIDA;224;119;150;R$ 12.175;86;31;60%;R$ 4.854
13.05.009 - CROMANIL FSC ANIL 3 LT;UNIDA;51;10;12;R$ 11.836;0;30;80%;R$ 5.351
13.05.018 - CROMANIL CHROMA KEY VERDE LATA;UNIDA;11;6;11;R$ 11.800;0;30;70%;R$ 4.905
13.07.077 - TEXTURA CROMANIL RELEVO ANIL  LT;UNIDA;11;11;12;R$ 11.541;35;30;0%;R$ 1.548
13.05.021 - CROMANIL ACR FOSCO PREMIUM BRANCO LT;UNIDA;220;18;37;R$ 11.496;98;29;90%;R$ 5.925
20.02.005 - ESMALTE LUKS FOSCO BRANCO BASE AGUA GL;UNIDA;90;90;105;R$ 11.253;93;29;20%;R$ 6.732
25.09.002 - FITA CREPE  25 X 50 MM;UNIDA;787;787;1533;R$ 11.222;56;29;20%;R$ 4.492
99.99.998 - KIT CIMENTO QUEIMADO 1/4 TRADICIONAL;UNIDA;1;83;88;R$ 11.104;59;28;90%;R$ 9.000
14.01.001 - TEXTURA CRISTALINE CORES MEDIAS DECOR E ART 25KG;UNIDA;2;2;68;R$ 10.569;0;27;50%;R$ 3.685
25.15.003 - LONA PLASTICA PRETA 4X50MT;UNIDA;79;79;87;R$ 9.888;57;25;70%;R$ 7.025
13.07.027 - TEXTURA CROMANIL   TRADICIONAL  LATA;UNIDA;48;5;13;R$ 9.867;56;25;60%;R$ 2.586
99.99.998 - KIT GL CIMENTO QUEIMADO TRADICIONAL;UNIDA;1;31;32;R$ 9.854;11;25;60%;R$ 3.669
10.03.001 - EPOXI BRANCO BRAZILIAN GL;UNIDA;44;33;52;R$ 9.826;11;25;50%;R$ 4.003
20.08.008 - AGUA RAZ LUKS 900ML;UNIDA;499;499;578;R$ 9.779;88;25;40%;R$ 4.381
13.07.113 - KIT 1/4 CIMENTO QUEIMADO NUVENS DE CHUVA;UNIDA;70;70;78;R$ 9.468;40;24;60%;R$ 8.151
02.01.021 - KIT COMPEL ANTI RESPINGO N§ 8;UNIDA;351;296;311;R$ 9.299;12;24;20%;R$ 2.342
13.07.001 - KIT CIMENTO QUEIMADO 1/4 + VERNIZ 1/4;UNIDA;84;80;89;R$ 9.298;2;24;20%;R$ 9.286
25.07.001 - ESMALTE FLUOR ECO 1/4;UNIDA;48;44;72;R$ 9.063;2;23;50%;R$ 5.640
35.01.013 - UNIVERSO ACRILICO FOSCO PREMIUM TERRACOTA  LATA;LATA;1;1;30;R$ 8.910;0;23;20%;R$ 5.870
13.09.010 - VERNIZ ACRILICO FOSCO ACET CROMANIL 1/4;UNIDA;1004;249;301;R$ 8.870;57;23;0%;R$ 1.661
25.17.003 - MASSA ACRILICA SUVINIL LT;UNIDA;33;33;54;R$ 8.858;63;23;0%;R$ 6.643
12.03.002 - LATEX CORAL RENDE MUITO GL;UNIDA;97;97;108;R$ 8.759;28;22;80%;R$ 5.153
13.02.006 - CROMANIL ESMALTE ACET ANIL INTENSO (3) GL;UNIDA;31;22;26;R$ 8.675;19;22;50%;R$ 2.210
ZZ.SV.000 - CROMIO - A2 - SELFCOLOR - FOSCO COMPLETO;16L;1574;37;43;R$ 8.523;72;22;10%;R$ 5.868
13.05.008 - CROMANIL FSC ANIL 3 GL;UNIDA;138;23;31;R$ 8.350;32;21;70%;R$ 3.037
18.01.003 - RESINA HYDRONORTHY  FOSCA LT;UNIDA;12;12;16;R$ 8.238;15;21;40%;R$ 5.377
13.07.074 - TEXTURA CROMANIL RELEVO  LT 18;UNIDA;6;6;10;R$ 8.078;26;21;0%;R$ 1.000
13.09.012 - VERNIZ ACRILICO FOSCO ACET CROMANIL LATA;UNIDA;41;11;27;R$ 8.034;96;20;90%;R$ 3.025
13.02.006 - CROMANIL ESMALTE ACET ANIL 3 GL;UNIDA;31;9;24;R$ 7.838;95;20;40%;R$ 2.040
13.07.098 - LUMINUZ PRATA GL;UNIDA;41;41;46;R$ 7.697;37;20;0%;R$ 7.346
13.05.009 - LATEX ACR FOSCO CROMANIL ANIL INTENSO (3) LT;UNIDA;51;7;7;R$ 7.655;4;19;90%;R$ 1.968
25.13.009 - SUVINIL LATEX PVA MAX BRANCO GL;UNIDA;67;67;73;R$ 7.622;80;19;80%;R$ 5.209
31.11.018 - METALATEX ELASTIC BASE XY;UNIDA;8;1;12;R$ 7.613;40;19;80%;R$ 3.876
13.05.020 - CROMANIL FSC BRANCO GL;UNIDA;224;93;108;R$ 7.598;72;19;70%;R$ 3.780
13.07.116 - KIT GL CIMENTO QUEIMADO GAROA;UNIDA;23;23;24;R$ 7.572;72;19;70%;R$ 6.712
13.07.115 - KIT 1/4 CIMENTO QUEIMADO TRADICIONAL CLARO;UNIDA;64;64;68;R$ 7.524;13;19;60%;R$ 7.106
31.23.018 - NOVA COR PISO CINZA LT;UNIDA;24;24;28;R$ 7.466;54;19;40%;R$ 5.517
31.10.003 - METALATEX REQ BRANCO GL;UNIDA;49;49;55;R$ 7.422;79;19;30%;R$ 4.575
25.24.001 - MULTISUPERFICIES BRANCO  GL;UNIDA;44;29;38;R$ 7.397;53;19;20%;R$ 4.710
99.99.998 - KIT CIMENTO QUEIMADO GL NUVENS DE CHUVA;UNIDA;1;21;24;R$ 7.191;10;18;70%;R$ 6.622
31.24.021 - SUMADUR KIT MUNSELL N 6;5;UNIDA;2;1;10;R$ 7.144;80;18;60%
ZZ.SW.000 - PALHA - XY - SHERWIN - NOVO M-LTX ACR FS;GALAO;1687;22;29;R$ 6.977;52;18;10%;R$ 5.442
13.07.109 - KIT LATA CIMENTO QUEIMADO TRADICIONAL;UNIDA;6;6;6;R$ 6.871;15;17;90%;R$ 1.800
