Produtos,Embal,Operacoeses_Comerciais,Itens_Vendidos,Quantidade,Valor,% Part.,Custo_Total,Lucrativo-%,Lucrativo-$
13.07.026 - TEXTURA CROMANIL  CIMENTO QUEIMADO TRADICIONAL GL,UNIDA,922.00,799.00,874.00,"188,659.00",2.00,490.00,20%,"43,434.00"
13.07.025 - TEXTURA CROMANIL  CIMENTO QUEIMADO TRADICIONAL 1/4,900ML,"1,662.00","1,421.00","1,766.00","163,545.00",31.00,425.00,0%,"15,623.00"
13.07.052 - TEXTURA CROMANIL  NUVENS DE CHUVA GL,UNIDA,301.00,301.00,329.00,"70,539.00",54.00,183.00,30%,"33,265.00"
13.07.118 - KIT GL CIMENTO QUEIMADO TRADICIONAL,UNIDA,177.00,177.00,184.00,"56,674.00",40.00,147.00,30%,"51,464.00"
13.05.021 - LATEX ACR FOSCO CROMANIL BRANCO LT,UNIDA,220.00,146.00,197.00,"56,194.00",93.00,146.00,0%,"30,879.00"
25.11.011 - SUVINIL ACRILICO FOSCO BRANCO LT,UNIDA,114.00,115.00,133.00,"53,311.00",16.00,138.00,50%,"41,175.00"
13.07.027 - TEXTURA CROMANIL  CIMENTO QUEIMADO TRADICIONAL LATA,UNIDA,48.00,43.00,62.00,"48,343.00",73.00,125.00,60%,"7,171.00"
13.07.023 - TEXTURA CROMANIL  CIMENTO QUEIMADO + CLARO GL,UNIDA,254.00,204.00,245.00,"48,125.00",97.00,125.00,10%,"21,918.00"
31.11.002 - METALATEX FSC  BRANCO LT,UNIDA,103.00,103.00,138.00,"46,597.00",53.00,121.00,10%,"34,425.00"
13.05.009 - CROMANIL FSC ANIL INTENSO 3 LT,UNIDA,51.00,32.00,40.00,"43,218.00",51.00,112.00,30%,"17,837.00"
13.07.051 - TEXTURA CROMANIL  NUVENS DE CHUVA 1/4,UNIDA,369.00,369.00,436.00,"39,695.00",5.00,103.00,10%,"16,767.00"
25.09.003 - FITA CREPE  48 X 50 MM,UNIDA,"1,512.00","1,513.00","2,604.00","33,018.00",53.00,85.00,80%,"14,706.00"
13.07.026 - TEXTURA CROMANIL   TRADICIONAL  GL,UNIDA,922.00,123.00,143.00,"31,840.00",39.00,82.00,70%,"6,150.00"
13.07.003 - KIT CIMENTO QUEIMADO GL + VERNIZ,UNIDA,102.00,92.00,105.00,"29,470.00",99.00,76.00,60%,"29,368.00"
13.07.041 - TEXTURA CROMANIL  GAROA GL,UNIDA,128.00,128.00,140.00,"29,226.00",24.00,75.00,90%,"10,488.00"
25.07.002 - ESMALTE FLUOR ECO GL,UNIDA,61.00,35.00,69.00,"28,290.00",72.00,73.00,50%,"22,306.00"
13.07.025 - TEXTURA CROMANIL   TRADICIONAL  1/4,UNIDA,"1,662.00",241.00,283.00,"28,011.00",54.00,72.00,80%,"4,131.00"
13.09.010 - VERNIZ ACRILICO FOSCO CROMANIL 900 ML,900ML,"1,004.00",755.00,877.00,"27,539.00",59.00,71.00,60%,"9,249.00"
12.03.003 - LATEX CORAL RENDE MUITO LT,UNIDA,86.00,85.00,100.00,"27,442.00",63.00,71.00,30%,"19,931.00"
13.07.022 - TEXTURA CROMANIL  CIMENTO QUEIMADO + CLARO 1/4,UNIDA,304.00,246.00,312.00,"27,055.00",66.00,70.00,30%,"13,697.00"
13.07.114 - KIT 1/4 CIMENTO QUEIMADO TRADICIONAL,UNIDA,189.00,189.00,220.00,"26,156.00",99.00,68.00,0%,"22,990.00"
13.05.008 - CROMANIL FSC ANIL INTENSO 3 GL,UNIDA,138.00,71.00,92.00,"24,965.00",85.00,64.00,90%,"9,013.00"
25.11.010 - SUVINIL ACRILICO FOSCO BRANCO GL,UNIDA,152.00,152.00,179.00,"23,578.00",23.00,61.00,30%,"16,180.00"
